,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
77,https://doi.org/10.5061/dryad.js408,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.02,0.03
78,https://doi.org/10.5061/dryad.1642b,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
79,https://doi.org/10.5061/dryad.4r4j835,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
80,https://doi.org/10.5061/dryad.f12cg,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
81,https://doi.org/10.5061/dryad.hv117,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.01,0.01,0.01,0.02
82,https://doi.org/10.5061/dryad.4fn70,0.0,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.01,0.01,0.03
83,https://doi.org/10.5061/dryad.9cp3j,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
84,https://doi.org/10.5061/dryad.2v00t,0.01,0.01,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
85,https://doi.org/10.5061/dryad.7n1q4,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
86,https://doi.org/10.5061/dryad.gg6n17s,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
87,https://doi.org/10.5061/dryad.cb506,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
88,https://doi.org/10.5061/dryad.r503m,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.01,0.01,0.01,0.02
89,https://doi.org/10.5061/dryad.34569,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.01,0.01,0.02
90,https://doi.org/10.5061/dryad.622q4,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
91,https://doi.org/10.5061/dryad.fr1r2,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
92,https://doi.org/10.5061/dryad.485qq,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
93,https://doi.org/10.5061/dryad.4k2t07s,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
94,https://doi.org/10.5061/dryad.8t53k,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.03
95,https://doi.org/10.5061/dryad.t5r8m,0.0,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.01,0.02,0.02
96,https://doi.org/10.5061/dryad.gk90t,0.0,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.01,0.04
97,https://doi.org/10.5061/dryad.43bv0,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.03
98,https://doi.org/10.5061/dryad.dm540,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
99,https://doi.org/10.5061/dryad.4ck56,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
