domain,nb
bird.univ-nantes.io,72
www.nbsdc.cn,72
uzvardi.lv,72
idd.bag.admin.ch,72
data.geo.admin.ch,72
biocreative.bioinformatics.udel.edu,72
www.ivs.admin.ch,72
omega-rd.ii.pw.edu.pl,72
sparql.southgreen.fr,72
riunet.upv.es,72
ddd.uab.cat,72
www.hsa.ie,72
idr.openmicroscopy.org,72
pmb-bordeaux.fr,72
www.swissmedic.ch,72
ids.osuna.univ-nantes.fr,72
www.expasy.org,72
wasabi.inria.fr,71
journals.plos.org,70
hal.science,70
www.semanticscholar.org,69
sparql-noipa.mef.gov.it,69
skm.nib.si,67
opendata.inrae.fr,67
urn.fi,67
demo.ds-wizard.org,67
www.biorxiv.org,67
ontologies.di.unito.it,66
flybase.org,66
www.hcvivdb.org,66
fhircat.org,66
biodev.cea.fr,66
beta.flymine.org,66
www.begdb.org,66
ncbr.muni.cz,66
libeccio.bo.ismar.cnr.it:8080,66
cda-search-ui.prd.nibr.novartis.net,66
crimeanalytics.it,66
ccy.zcu.cz,66
lod.proconsortium.org,66
www.researchequals.com,66
unicatdb.org,66
linkeddata.uriburner.com,66
ludii.games,65
land.copernicus.eu,64
www.epa.gov,64
www.frontiersin.org,64
gtpb.github.io,64
stake.com,63
litepick.io,63
www.transportforireland.ie,62
www.rhea-db.org,62
slocum-data.marine.rutgers.edu,62
www.ccpc.ie,61
www.sitr.regione.sicilia.it,61
mage.genoscope.cns.fr,61
digitum.um.es,60
pytlit.chnu.edu.ua,60
agrolifejournal.usamv.ro,60
www.arb-silva.de,60
are-journal.com,60
bioinformatics.ca,60
www.ineo.tools,60
archive.ics.uci.edu,60
www.bak.admin.ch,60
iesaisties.lv,60
ifcb-data.sams.ac.uk,60
madata.bib.uni-mannheim.de,60
www.salzburgerland.com,60
ensemblgenomes.org,60
kof.ethz.ch,60
gitlab.desy.de,60
cran.r-project.org,60
www.icpsr.umich.edu,60
www.dissco-itineris.it,60
maps.rijkswaterstaat.nl,60
www.proteinatlas.org,60
www.science.org,60
swissmodel.expasy.org,60
mint.bio.uniroma2.it,60
www.f-uji.net,60
www.filmportal.de,60
data.aussda.at,60
aeronet.gsfc.nasa.gov,60
edatos.consorciomadrono.es,60
dogepick.io,59
groningendatacatalogus.nl,59
www.doi.org,59
datacatalogue.sodanet.gr,59
biosphere.france-bioinformatique.fr,59
purl.archive.org,58
cds.climate.copernicus.eu,58
www.ukbiobank.ac.uk,57
doranum.fr,57
cdi.seadatanet.org,56
ontology.inrae.fr,56
vocab.getty.edu,56
ontologies.khaos.uma.es,56
catalogue.bbmri.nl,56
rdf.muninn-project.org,55
iec.ch,55
urgi.versailles.inra.fr,55
ds-wizard.org,55
rice-genome-hub.southgreen.fr,54
dataverse.nl,54
data.geohive.ie,54
snd.se,53
dc04-187-16-158-160.sa.ngrok.io,52
data.open.ac.uk,51
ifx-dr.github.io,51
carpentries-incubator.github.io,51
